Field,Type,Null,Key,Default,Extra
TransactionID,int,NO,PRI,NULL,
CustomerID,int,YES,,NULL,
TransactionDate,datetime,YES,,NULL,
TransactionAmount,"decimal(8,2)",YES,,NULL,
PaymentMethod,varchar(20),YES,,NULL,
Quantity,int,YES,,NULL,
DiscountPercent,"decimal(5,2)",YES,,NULL,
City,varchar(20),YES,,NULL,
StoreType,varchar(20),YES,,NULL,
CustomerAge,int,YES,,NULL,
CustomerGender,varchar(10),YES,,NULL,
LoyaltyPoints,int,YES,,NULL,
ProductName,varchar(20),YES,,NULL,
Region,varchar(20),YES,,NULL,
Returned,varchar(5),YES,,NULL,
FeedbackScore,int,YES,,NULL,
ShippingCost,"decimal(6,2)",YES,,NULL,
DeliveryTimeDays,int,YES,,NULL,
IsPromotional,varchar(5),YES,,NULL,
